SDUID,biodiversity,carbon,forestry_value,grazing_value,grazing_methane,cropland_value,noxn_in_drinking_water,transition_cost,production_value,net_econ_value,net_ghg_co2e
317,738.082275,713070.125,0.0,0.0,0.0,-13387714.0,8208.9375,210052.40625,-13387714.0,-13597766.40625,2614590.458333333
318,851.003235,1022964.625,0.0,0.0,0.0,-695604.625,7893.291992,12279.927734,-695604.625,-707884.552734,3750870.2916666665
319,819.267944,933844.125,0.0,0.0,0.0,-3256786.5,7957.532227,69155.976562,-3256786.5,-3325942.476562,3424095.125
320,784.847046,936512.75,0.0,0.0,0.0,-749307.5625,7648.726562,19389.115234,-749307.5625,-768696.677734,3433880.083333333
321,6.8697,8502.648438,0.0,0.0,0.0,0.0,64.347824,3374.13916,0.0,-3374.13916,31176.377606
330,735.734375,1388294.5,0.0,0.0,0.0,0.0,6926.182617,721.031067,0.0,-721.031067,5090413.166666666
331,132.790792,243590.566406,0.0,0.0,0.0,0.0,1200.33017,0.0,0.0,0.0,893165.4101553333
343,38.648254,55998.871094,0.0,0.0,0.0,-1262465.875,1024.588379,10986.911133,-1262465.875,-1273452.786133,205329.19401133334
344,650.143799,699548.9375,0.0,0.0,0.0,-16552686.0,9277.977539,278553.40625,-16552686.0,-16831239.40625,2565012.770833333
345,646.906158,489253.328125,0.0,0.0,0.0,-22832145.75,8457.518555,337366.421875,-22832145.75,-23169512.171875,1793928.8697916665
346,824.365112,982436.3125,0.0,0.0,0.0,-1376238.125,8194.109375,22620.488281,-1376238.125,-1398858.613281,3602266.4791666665
347,832.733093,1003703.0,0.0,0.0,0.0,-478434.625,7590.312988,9048.235352,-478434.625,-487482.860352,3680244.333333333
348,830.960693,998639.625,0.0,0.0,0.0,-530000.375,7810.844727,12279.661133,-530000.375,-542280.036133,3661678.625
349,805.211182,935852.3125,0.0,0.0,0.0,-1086745.375,7848.536133,54992.328125,-1086745.375,-1141737.703125,3431458.4791666665
351,143.443726,178753.265625,0.0,0.0,0.0,-31597.095703,1653.119141,646.287109,-31597.095703,-32243.382812,655428.640625
352,91.943001,111745.46875,0.0,0.0,0.0,0.0,889.001343,0.0,0.0,0.0,409733.3854166666
353,30.996004,37653.210938,0.0,0.0,0.0,0.0,281.056641,646.27655,0.0,-646.27655,138061.7734393333
357,5.9629,10988.505859,0.0,0.0,0.0,0.0,51.475479,0.0,0.0,0.0,40291.18814966667
358,279.381592,523802.59375,0.0,0.0,0.0,0.0,2590.0979,74.705704,0.0,-74.705704,1920609.5104166665
359,828.254517,1533219.75,0.0,0.0,0.0,-13430.022461,7485.541016,646.283142,-13430.022461,-14076.305603,5621805.75
360,17.987598,32965.558594,0.0,0.0,0.0,0.0,160.48761,0.0,0.0,0.0,120873.71484466667
371,673.314026,894904.6875,0.0,0.0,0.0,-18211138.5,9912.807129,250107.890625,-18211138.5,-18461246.390625,3281317.1875
